keywords,노출수,클릭수,ratio,period
050전화번호,144,1,0,2021-11-01
050전화번호,265,0,0,2021-12-01
050전화번호,252,0,0,2022-01-01
050전화번호,185,0,0,2022-02-01
050전화번호,353,0,0,2022-03-01
050전화번호,279,0,0,2022-04-01
050전화번호,260,0,0,2022-05-01
050전화번호,139,0,0,2022-06-01
050전화번호,173,0,0,2022-07-01
050전화번호,235,0,0,2022-08-01
050전화번호,202,1,0,2022-09-01
050전화번호,251,1,0,2022-10-01
050전화번호,160,0,0,2022-11-01
050전화번호,128,0,0,2022-12-01
050통화시안내방송,2,0,0,2021-04-01
050팩스,23,0,0,2021-02-01
050팩스,45,0,0,2021-03-01
050팩스,36,0,0,2021-04-01
050팩스,45,0,0,2021-05-01
050팩스,49,0,0,2021-06-01
050팩스,49,0,0,2021-07-01
050팩스,87,0,0,2021-08-01
050팩스,98,1,0,2021-09-01
050팩스,81,0,0,2021-10-01
050팩스,80,1,0,2021-11-01
050팩스,112,0,0,2021-12-01
050팩스,100,0,0,2022-01-01
050팩스,94,0,0,2022-02-01
050팩스,90,0,0,2022-03-01
050팩스,84,2,0,2022-04-01
050팩스,125,0,0,2022-05-01
050팩스,157,0,0,2022-06-01
050팩스,81,0,0,2022-07-01
050팩스,79,0,0,2022-08-01
050팩스,76,0,0,2022-09-01
050팩스,64,0,0,2022-10-01
050팩스,60,0,0,2022-11-01
050팩스,74,0,0,2022-12-01
050팩스번호,5,0,0,2021-02-01
050팩스번호,14,0,0,2021-03-01
050팩스번호,14,0,0,2021-04-01
050팩스번호,17,0,0,2021-05-01
050팩스번호,21,0,0,2021-06-01
050팩스번호,12,0,0,2021-07-01
050팩스번호,12,0,0,2021-08-01
050팩스번호,13,0,0,2021-09-01
050팩스번호,14,0,0,2021-10-01
050팩스번호,12,0,0,2021-11-01
050팩스번호,12,0,0,2021-12-01
050팩스번호,23,1,0,2022-01-01
050팩스번호,13,0,0,2022-02-01
050팩스번호,5,0,0,2022-03-01
050팩스번호,19,0,0,2022-04-01
050팩스번호,12,1,0,2022-05-01
050팩스번호,10,0,0,2022-06-01
050팩스번호,11,0,0,2022-07-01
050팩스번호,13,0,0,2022-08-01
050팩스번호,14,0,0,2022-09-01
050팩스번호,15,0,0,2022-10-01
050팩스번호,15,0,0,2022-11-01
050팩스번호,8,0,0,2022-12-01
050평생번호,3,0,0,2021-02-01
050평생번호,8,0,0,2021-03-01
050평생번호,12,1,0,2021-04-01
050평생번호,5,0,0,2021-05-01
050평생번호,3,0,0,2021-06-01
050평생번호,6,0,0,2021-07-01
050평생번호,3,0,0,2021-08-01
050평생번호,5,1,0,2021-09-01
050평생번호,3,0,0,2021-10-01
050평생번호,7,0,0,2021-11-01
050평생번호,9,1,0,2021-12-01
050평생번호,8,0,0,2022-01-01
050평생번호,2,1,0,2022-02-01
050평생번호,4,0,0,2022-03-01
050평생번호,8,2,0,2022-04-01
050평생번호,6,2,0,2022-05-01
050평생번호,5,2,0,2022-06-01
050평생번호,6,0,0,2022-07-01
050평생번호,8,0,0,2022-08-01
050평생번호,2,0,0,2022-09-01
050평생번호,12,1,0,2022-10-01
050평생번호,7,0,0,2022-11-01
050평생번호,7,0,0,2022-12-01
060번호서비스,3,0,0,2021-02-01
060번호서비스,7,0,0,2021-03-01
060번호서비스,5,0,0,2021-04-01
060번호서비스,4,0,0,2021-05-01
060번호서비스,2,0,0,2021-06-01
